Logger, userkaid:         	Automatically truncated logfile to 1048576, MadelineProto 8.4.10
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001369059644
UpdateHandler, userkaid:  	Saving update of type updateNewChannelMessage
MinDatabase, userkaid:    	Found 1 pending contexts
UpdateHandler, userkaid:  	Parsing updates (updateShort) received via the socket...
FeedLoop, userkaid:       	Resumed update feed loop generic
UpdateHandler, userkaid:  	Saving update of type updateChannelUserTyping
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001976428740
PingLoop, userkaid:       	Ping DC 4.0
PingLoop, userkaid:       	Ping DC 4.0
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001369059644
UpdateHandler, userkaid:  	Saving update of type updateNewChannelMessage
PingLoop, userkaid:       	Ping DC 4.0
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001369059644
UpdateHandler, userkaid:  	Saving update of type updateNewChannelMessage
PingLoop, userkaid:       	Ping DC 4.0
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001976428740
PingLoop, userkaid:       	Ping DC 4.0
PingLoop, userkaid:       	Ping DC 4.0
SessionPaths, userkaid:   	Waiting for exclusive lock of D:\Program\OSPanel\home\prestige\storage\app/private/session/session.madeline\safe.php.lock...
SessionPaths, userkaid:   	Got exclusive lock of D:\Program\OSPanel\home\prestige\storage\app/private/session/session.madeline\safe.php.lock...
SessionPaths, userkaid:   	Waiting for exclusive lock of D:\Program\OSPanel\home\prestige\storage\app/private/session/session.madeline\lightState.php.lock...
SessionPaths, userkaid:   	Got exclusive lock of D:\Program\OSPanel\home\prestige\storage\app/private/session/session.madeline\lightState.php.lock...
APIWrapper, userkaid:     	Saved session!
PingLoop, userkaid:       	Ping DC 4.0
PingLoop, userkaid:       	Ping DC 4.0
PingLoop, userkaid:       	Ping DC 4.0
PingLoop, userkaid:       	Ping DC 4.0
PingLoop, userkaid:       	Ping DC 4.0
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001369059644
UpdateHandler, userkaid:  	Saving update of type updateNewChannelMessage
PingLoop, userkaid:       	Ping DC 4.0
SessionPaths, userkaid:   	Waiting for exclusive lock of D:\Program\OSPanel\home\prestige\storage\app/private/session/session.madeline\safe.php.lock...
SessionPaths, userkaid:   	Got exclusive lock of D:\Program\OSPanel\home\prestige\storage\app/private/session/session.madeline\safe.php.lock...
SessionPaths, userkaid:   	Waiting for exclusive lock of D:\Program\OSPanel\home\prestige\storage\app/private/session/session.madeline\lightState.php.lock...
SessionPaths, userkaid:   	Got exclusive lock of D:\Program\OSPanel\home\prestige\storage\app/private/session/session.madeline\lightState.php.lock...
APIWrapper, userkaid:     	Saved session!
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001976428740
PingLoop, userkaid:       	Ping DC 4.0
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001369059644
UpdateHandler, userkaid:  	Saving update of type updateNewChannelMessage
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001976428740
PingLoop, userkaid:       	Ping DC 4.0
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001976428740
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001976428740
PingLoop, userkaid:       	Ping DC 4.0
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001976428740
UpdateHandler, userkaid:  	Parsing updates (updates) received via the socket...
SeqLoop, userkaid:        	Was fed updates of type updates...
FeedLoop, userkaid:       	Resumed update feed loop channel -1001976428740
PingLoop, userkaid:       	Ping DC 4.0
PingLoop, userkaid:       	Ping DC 4.0
PingLoop, userkaid:       	Ping DC 4.0
SessionPaths, userkaid:   	Waiting for exclusive lock of D:\Program\OSPanel\home\prestige\storage\app/private/session/session.madeline\safe.php.lock...
